net,length_um
clknet_2_0__leaf_clk,427.99
clknet_2_2__leaf_clk,382.84
clknet_2_1__leaf_clk,367.63
_0758_,344.91
_0881_,338.84
_0771_,318.8
_0736_,316.18
_0714_,314.785
clknet_0_clk,307.01
_0913_,302.36
_0909_,301.17
_0783_,297.8
_0840_,297.75
_0914_,296.78
_1484_,294.33
_1483_,289.465
_0731_,289.145
clknet_2_3__leaf_clk,285.33
_0874_,280.68
_0705_,273.68
net5,268.18
_0715_,267.58
_1861_,266.335
_0803_,264.97
_0738_,264.64
_0693_,264.31
_0879_,263.815
_0904_,260.94
net33,257.43
_0922_,253.235
_0759_,252.99
_0707_,250.5
_0808_,246.81
_0876_,246.385
_0965_,245.11
_0704_,242.49
_0954_,241.285
_0746_,238.78
_0740_,236.63
_0706_,236.47
_0697_,235.935
net3,233.75
_0952_,232.95
_0895_,231.67
clk,230.61
_0702_,229.71
_0698_,228.605
_0773_,227.215
_0727_,226.29
_0696_,225.08
_0745_,219.25
_1868_,216.5
_0898_,215.59
_0748_,214.37
_0733_,213.25
_0858_,213.04
_1486_,212.73
_0878_,212.58
_0933_,209.1
_0802_,207.68
_1876_,206.4
_0700_,202.885
_0813_,201.94
_0737_,201.12
_0710_,198.57
_1304_,195.24
_1875_,195.09
_0723_,194.57
_0757_,193.31
_0716_,192.43
_0779_,190.92
_0900_,189.99
_0741_,188.56
_0781_,188.49
_0694_,187.115
_0701_,186.46
_1041_,184.63
_0724_,184.155
_1877_,183.88
_1405_,183.195
_1487_,182.7
_0703_,181.91
_0001_,180.15
_0735_,179.165
_1862_,177.785
_0816_,177.54
_1674_,176.87
_0711_,176.79
net4,176.66
_0776_,175.07
_0726_,174.515
_1135_,174.15
_0770_,174.06
_2061_,172.2
_0774_,169.54
_1678_,168.54
_0685_,168
_1085_,167.67
_0939_,167.34
_0742_,167.18
net7,166.36
net8,164.71
_1671_,160.66
_0885_,160.12
_0734_,159.18
_1482_,157.45
_0782_,156.52
_1014_,155.57
_0826_,152.25
_1490_,148.64
clknet_leaf_24_clk,147.76
net1,147.08
net6,146.08
_0861_,144.975
_1185_,144.41
_0722_,144.33
_1198_,143.86
_1112_,142.09
net26,140.69
_1146_,140.66
_1668_,140.64
_0780_,140.57
_1667_,140.52
_0717_,139.42
_0721_,139.2
_1157_,136.7
_0772_,135.845
clknet_leaf_47_clk,135.58
_1260_,134.24
_1171_,133.83
_0812_,133.2
_1737_,132.72
clknet_leaf_6_clk,132.315
_1672_,132.06
net19,131.73
clknet_leaf_2_clk,131.435
_0974_,130.64
_1666_,130.19
_0744_,129.58
clknet_leaf_38_clk,124.95
clknet_leaf_26_clk,124.94
_1468_,124.93
_0743_,124.74
clknet_leaf_32_clk,123.955
_1706_,123.53
clknet_leaf_35_clk,122.64
_1495_,121.02
_0839_,120.89
_0712_,120.77
clknet_leaf_33_clk,120.68
clknet_leaf_37_clk,120.54
_1350_,120.425
_1715_,120.375
_1220_,120
_1673_,118.52
clknet_leaf_22_clk,117.36
_1703_,116.02
_1682_,114.96
_1228_,114.8
_0730_,114.73
_0720_,114.3
clknet_leaf_46_clk,114.14
net30,114.12
clknet_leaf_9_clk,114.02
clknet_leaf_25_clk,114.015
_1720_,113.91
_1713_,113.83
_0857_,113.585
_0778_,113.14
clknet_leaf_48_clk,112.72
_0754_,112.2
_0756_,111.89
_1793_,111.73
_1308_,111.14
_1790_,111.06
_1094_,110.21
_1133_,109.98
clknet_leaf_40_clk,109.4
clknet_leaf_27_clk,108.73
_0907_,108.3
_1796_,107.86
clknet_leaf_49_clk,107.2
_0788_,106.94
_1736_,106.27
clknet_leaf_13_clk,105.88
_0867_,105.3
net32,105.18
clknet_leaf_19_clk,104.82
clknet_leaf_28_clk,104.18
_1242_,103.94
clknet_leaf_41_clk,103.38
_0769_,103.34
_0713_,103.19
_1481_,102.62
clknet_leaf_34_clk,102.62
net27,100.64
net9,99.9
_1722_,99.59
clknet_leaf_1_clk,99.52
_1741_,99.41
_1717_,97.86
_0751_,97.78
clknet_leaf_44_clk,96.8
_1731_,95.88
_1136_,95.6
net24,95.16
_1051_,95.04
_1008_,94.85
clknet_leaf_3_clk,94.215
u_core.u_regfile.rf\[31\]\[25\],93.64
_1091_,93.03
_1795_,92.89
clknet_leaf_36_clk,92.84
_0866_,92.385
_1792_,92.32
_0762_,92.13
_1624_,91.86
_1245_,91.77
_0750_,91.58
_1739_,91.34
clknet_leaf_8_clk,91.28
_0709_,91.175
_1724_,90.76
_1625_,90.42
clknet_leaf_18_clk,90.32
_0938_,90.28
_1325_,90.26
_1623_,90.16
_1705_,89.48
u_timer.count_reg\[7\],88.92
_1056_,88.82
net23,88.8
clknet_leaf_30_clk,88.78
clknet_leaf_31_clk,88.66
_1183_,88.62
net28,88.33
_1057_,87.92
_1726_,87.21
_1052_,86.99
_1794_,86.64
_1730_,86.32
_1416_,85.8
clknet_leaf_43_clk,85.76
_1231_,85.68
_0688_,85.48
clknet_leaf_10_clk,85.28
_2062_,85.155
net91,85.02
_1332_,84.68
_1683_,84.415
_1253_,84.3
_1009_,84.24
clknet_leaf_14_clk,83.44
net21,83.1
clknet_leaf_15_clk,82.98
net10,82.78
_0944_,81.22
_1406_,81.02
_0695_,80.82
u_core.u_regfile.rf\[31\]\[24\],80.24
clknet_leaf_12_clk,79.74
_1791_,79.33
_1541_,78.72
clknet_leaf_42_clk,78.68
_0818_,78.58
u_core.u_regfile.rf\[31\]\[22\],78.52
_1704_,78.48
u_core.u_regfile.rf\[6\]\[19\],78.39
_0838_,78.38
clknet_leaf_23_clk,77.68
_1502_,77.62
_1629_,77.31
_1279_,76.3
_1630_,76.28
_1680_,76.16
_0960_,76.12
_1251_,75.9
_1669_,75.8
_0761_,75.78
_0794_,75.48
u_core.u_regfile.rf\[5\]\[12\],75.41
clknet_leaf_21_clk,75.26
_0799_,75.12
_1725_,74.96
_1158_,74.7
u_core.u_regfile.rf\[31\]\[20\],74.7
_0916_,74.66
_1261_,74.65
u_core.u_regfile.rf\[31\]\[17\],74.3
_0728_,73.86
_1367_,73.8
_1366_,73.5
_1222_,73.42
_1670_,73.12
_1480_,72.88
_1505_,72.8
u_core.u_regfile.rf\[5\]\[14\],72.02
u_core.u_regfile.rf\[31\]\[5\],71.84
_0982_,71.04
_1217_,70.98
_0889_,70.94
clknet_leaf_7_clk,70.48
_0767_,70.12
_0653_,69.72
_1104_,69.66
_1714_,69.555
u_core.u_regfile.rf\[28\]\[15\],68.3
_1632_,67.98
u_timer.count_reg\[8\],67.96
u_timer.count_reg\[14\],67.46
clknet_leaf_0_clk,67.28
_1125_,67.18
net20,67
_1686_,66.83
_1628_,66.65
_0800_,66.4
_1265_,66.38
_1700_,66.18
_1371_,66.13
u_pc.irq,65.95
_1631_,65.54
u_core.u_regfile.rf\[31\]\[23\],65.14
_1461_,65.065
u_timer.count_reg\[12\],65.04
_1397_,64.85
u_core.u_regfile.rf\[28\]\[17\],64.72
_1688_,64.52
_1209_,64.43
_1626_,64.34
_0869_,64.1
_1204_,64.1
_1458_,64.035
_1093_,64.02
_1277_,63.92
_0924_,63.72
_1396_,63.38
_0752_,62.84
_0668_,62.6
_1411_,62.32
_0973_,62.28
_1418_,62.28
clknet_leaf_39_clk,62.22
_1627_,62.09
u_timer.count_reg\[10\],62.06
_1633_,61.91
_1413_,61.36
_1693_,61.26
u_core.u_regfile.rf\[1\]\[19\],61.24
clknet_leaf_50_clk,60.5
u_core.u_regfile.rf\[6\]\[31\],60.4
net29,60.11
_1122_,59.4
clknet_leaf_20_clk,59.4
u_timer.count_reg\[9\],59.21
u_imem.addr\[3\],59.16
_0903_,59
_0911_,58.74
clknet_leaf_29_clk,58.46
_1451_,58.37
_0687_,58.08
u_core.u_regfile.rf\[31\]\[16\],57.84
u_core.u_regfile.rf\[6\]\[22\],57.78
clknet_leaf_4_clk,57.74
_1206_,57.555
u_core.u_regfile.rf\[31\]\[21\],57.08
_0684_,56.38
_1152_,56.38
_0814_,55.88
u_core.u_regfile.rf\[28\]\[14\],55.86
_0871_,55.62
_1268_,55.495
u_timer.count_reg\[24\],55.08
_1695_,55.01
net564,54.88
clknet_leaf_16_clk,54.8
_1681_,54.72
u_audio.s_axi_bvalid,54.68
_0766_,54.67
_0686_,54.42
_0963_,54.3
_1073_,54.21
u_core.u_regfile.rf\[31\]\[7\],53.96
_0749_,53.92
_1360_,53.78
